place,movie_title,rating,year,star_cast
N/A,Taxi Driver,8.2,N/A,N/A
N/A,Hamilton,8.3,N/A,N/A
N/A,The Wolf of Wall Street,8.2,N/A,N/A
N/A,Batman Begins,8.2,N/A,N/A
N/A,Green Book,8.2,N/A,N/A
N/A,Per qualche dollaro in più,8.2,N/A,N/A
N/A,Some Like It Hot,8.2,N/A,N/A
N/A,The Truman Show,8.2,N/A,N/A
N/A,Judgment at Nuremberg,8.3,N/A,N/A
N/A,The Kid,8.2,N/A,N/A
N/A,The Father,8.2,N/A,N/A
N/A,Shutter Island,8.2,N/A,N/A
N/A,All About Eve,8.2,N/A,N/A
N/A,There Will Be Blood,8.2,N/A,N/A
N/A,Jurassic Park,8.2,N/A,N/A
N/A,Casino,8.2,N/A,N/A
N/A,The Sixth Sense,8.2,N/A,N/A
N/A,Ran,8.2,N/A,N/A
N/A,Top Gun: Maverick,8.2,N/A,N/A
N/A,No Country for Old Men,8.2,N/A,N/A
N/A,The Thing,8.2,N/A,N/A
N/A,El laberinto del fauno,8.2,N/A,N/A
N/A,Unforgiven,8.2,N/A,N/A
N/A,A Beautiful Mind,8.2,N/A,N/A
N/A,Kill Bill: Vol. 1,8.2,N/A,N/A
N/A,The Treasure of the Sierra Madre,8.2,N/A,N/A
N/A,Yôjinbô,8.2,N/A,N/A
N/A,Prisoners,8.2,N/A,N/A
N/A,Finding Nemo,8.2,N/A,N/A
N/A,The Great Escape,8.2,N/A,N/A
N/A,Monty Python and the Holy Grail,8.2,N/A,N/A
N/A,Hauru no ugoku shiro,8.2,N/A,N/A
N/A,The Wild Robot,8.2,N/A,N/A
N/A,The Elephant Man,8.2,N/A,N/A
N/A,Dial M for Murder,8.2,N/A,N/A
N/A,Rashômon,8.2,N/A,N/A
N/A,Gone with the Wind,8.2,N/A,N/A
N/A,Chinatown,8.1,N/A,N/A
N/A,El secreto de sus ojos,8.2,N/A,N/A
N/A,"Lock, Stock and Two Smoking Barrels",8.1,N/A,N/A
N/A,Klaus,8.2,N/A,N/A
N/A,V for Vendetta,8.1,N/A,N/A
N/A,Inside Out,8.1,N/A,N/A
N/A,"Three Billboards Outside Ebbing, Missouri",8.1,N/A,N/A
N/A,Raging Bull,8.1,N/A,N/A
N/A,Trainspotting,8.1,N/A,N/A
N/A,The Bridge on the River Kwai,8.1,N/A,N/A
N/A,Catch Me If You Can,8.1,N/A,N/A
N/A,Fargo,8.1,N/A,N/A
N/A,Warrior,8.1,N/A,N/A
